Name,\\pi3\LR09144901L%P2O5
Data Type,Float 32
Number of Values,15790
Time,Value,Value Attributes
17-Jun-2023 09:52:09.84622,15.30
17-Jun-2023 09:42:09.84622,15.30
17-Jun-2023 09:32:09.84622,15.30
17-Jun-2023 09:22:09.84622,15.30
17-Jun-2023 09:12:09.84622,15.30
17-Jun-2023 09:02:09.84622,15.30
17-Jun-2023 08:52:09.84622,15.30
17-Jun-2023 08:42:09.84622,15.30
17-Jun-2023 08:35:12.28925,15.87
17-Jun-2023 08:25:12.28925,15.87
17-Jun-2023 08:15:12.28925,15.87
17-Jun-2023 08:05:12.28925,15.87
17-Jun-2023 07:55:12.28925,15.87
17-Jun-2023 07:45:12.28925,15.87
17-Jun-2023 07:35:12.28925,15.87
17-Jun-2023 07:25:12.28925,15.87
17-Jun-2023 07:15:12.28925,15.87
17-Jun-2023 07:05:12.28925,15.87
17-Jun-2023 06:55:12.28925,15.87
17-Jun-2023 06:45:12.28925,15.87
17-Jun-2023 06:35:12.28925,15.87
17-Jun-2023 06:29:05.64545,15.20
17-Jun-2023 06:19:05.64545,15.20
17-Jun-2023 06:09:05.64545,15.20
17-Jun-2023 05:59:05.64545,15.20
17-Jun-2023 05:49:05.64545,15.20
17-Jun-2023 05:39:05.64545,15.20
17-Jun-2023 05:29:05.64545,15.20
17-Jun-2023 05:19:05.64545,15.20
17-Jun-2023 05:09:05.64545,15.20
17-Jun-2023 04:59:05.64545,15.20
17-Jun-2023 04:49:05.64545,15.20
17-Jun-2023 04:39:05.64545,15.20
17-Jun-2023 04:29:05.64545,15.20
17-Jun-2023 04:19:05.64545,15.20
17-Jun-2023 04:09:05.64545,15.20
17-Jun-2023 03:59:05.64545,15.20
17-Jun-2023 03:49:05.64545,15.20
17-Jun-2023 03:44:04.30968,15.46
17-Jun-2023 03:34:04.30968,15.46
17-Jun-2023 03:24:04.30968,15.46
17-Jun-2023 03:14:04.30968,15.46
17-Jun-2023 03:04:04.30968,15.46
17-Jun-2023 02:54:04.30968,15.46
17-Jun-2023 02:44:04.30968,15.46
17-Jun-2023 02:34:04.30968,15.46
17-Jun-2023 02:24:04.30968,15.46
17-Jun-2023 02:14:04.30968,15.46
17-Jun-2023 02:04:04.30968,15.46
17-Jun-2023 01:54:04.30968,15.46
17-Jun-2023 01:44:04.30968,15.46
17-Jun-2023 01:43:31.02878,14.86
17-Jun-2023 01:33:31.02878,14.86
17-Jun-2023 01:23:31.02878,14.86
17-Jun-2023 01:13:31.02878,14.86
17-Jun-2023 01:03:31.02878,14.86
17-Jun-2023 00:53:31.02878,14.86
17-Jun-2023 00:43:31.02878,14.86
17-Jun-2023 00:33:31.02878,14.86
17-Jun-2023 00:23:31.02878,14.86
17-Jun-2023 00:13:31.02878,14.86
17-Jun-2023 00:03:31.02878,14.86
16-Jun-2023 23:53:31.02878,14.86
16-Jun-2023 23:43:31.02878,14.86
16-Jun-2023 23:33:31.02878,14.86
16-Jun-2023 23:23:31.02878,14.86
16-Jun-2023 23:13:31.02878,14.86
16-Jun-2023 23:03:31.02878,14.86
16-Jun-2023 22:53:31.02878,14.86
16-Jun-2023 22:43:31.02878,14.86
16-Jun-2023 22:33:31.02878,14.86
16-Jun-2023 22:23:31.02878,14.86
16-Jun-2023 22:13:31.02878,14.86
16-Jun-2023 22:03:31.02878,14.86
16-Jun-2023 21:53:31.02878,14.86
16-Jun-2023 21:43:31.02878,14.86
16-Jun-2023 21:33:31.02878,14.86
16-Jun-2023 21:23:31.02878,14.86
16-Jun-2023 21:13:31.02878,14.86
16-Jun-2023 21:03:31.02878,14.86
16-Jun-2023 20:53:31.02878,14.86
16-Jun-2023 20:43:31.02878,14.86
16-Jun-2023 20:33:31.02878,14.86
16-Jun-2023 20:23:31.02878,14.86
16-Jun-2023 20:13:31.02878,14.86
16-Jun-2023 20:03:31.02878,14.86
16-Jun-2023 19:53:31.02878,14.86
16-Jun-2023 19:43:31.02878,14.86
16-Jun-2023 19:33:31.02878,14.86
16-Jun-2023 19:23:31.02878,14.86
16-Jun-2023 19:13:31.02878,14.86
16-Jun-2023 19:03:31.02878,14.86
16-Jun-2023 18:53:31.02878,14.86
16-Jun-2023 18:43:31.02878,14.86
16-Jun-2023 18:33:31.02878,14.86
16-Jun-2023 18:23:31.02878,14.86
16-Jun-2023 18:13:31.02878,14.86
16-Jun-2023 18:03:31.02878,14.86
16-Jun-2023 17:53:31.02878,14.86
16-Jun-2023 17:43:31.02878,14.86
16-Jun-2023 17:33:31.02878,14.86
16-Jun-2023 17:23:31.02878,14.86
16-Jun-2023 17:13:31.02878,14.86
16-Jun-2023 17:03:31.02878,14.86
16-Jun-2023 16:53:31.02878,14.86
16-Jun-2023 16:43:31.02878,14.86
16-Jun-2023 16:33:31.02878,14.86
16-Jun-2023 16:23:31.02878,14.86
16-Jun-2023 16:13:31.02878,14.86
16-Jun-2023 16:03:31.02878,14.86
16-Jun-2023 15:58:49.15248,14.40
16-Jun-2023 15:48:49.15248,14.40
16-Jun-2023 15:38:49.15248,14.40
16-Jun-2023 15:28:49.15248,14.40
16-Jun-2023 15:18:49.15248,14.40
16-Jun-2023 15:08:49.15248,14.40
16-Jun-2023 14:58:49.15248,14.40
16-Jun-2023 14:48:49.15248,14.40
16-Jun-2023 14:38:49.15248,14.40
16-Jun-2023 14:28:49.15248,14.40
16-Jun-2023 14:18:49.15248,14.40
16-Jun-2023 14:08:49.15248,14.40
16-Jun-2023 13:58:49.15248,14.40
16-Jun-2023 13:48:49.15248,14.40
16-Jun-2023 13:38:49.15248,14.40
16-Jun-2023 13:36:08.86292,14.20
16-Jun-2023 13:26:08.86292,14.20
16-Jun-2023 13:16:08.86292,14.20
16-Jun-2023 13:06:08.86292,14.20
16-Jun-2023 12:56:08.86292,14.20
16-Jun-2023 12:46:08.86292,14.20
16-Jun-2023 12:36:08.86292,14.20
16-Jun-2023 12:26:08.86292,14.20
16-Jun-2023 12:16:08.86292,14.20
16-Jun-2023 12:06:08.86292,14.20
16-Jun-2023 11:56:08.86292,14.20
16-Jun-2023 11:46:08.86292,14.20
16-Jun-2023 11:39:46.67542,15.40
16-Jun-2023 11:29:46.67542,15.40
16-Jun-2023 11:19:46.67542,15.40
16-Jun-2023 11:09:46.67542,15.40
16-Jun-2023 10:59:46.67542,15.40
16-Jun-2023 10:49:46.67542,15.40
