ts,P2O5,SO4,density,Cl,x,y,SO4_m,SO4_s,average,R(K),R(SO4)
03/05/2024 03:44,15.5,4.6,1.286,38084,58.2,30.3,0.488,0.498,0.41425,58.00390691,30.28955251
02/05/2024 11:34,16,4.66,1.294,40111,55.2,29.3,0.6,0.54,0.41425,55.22421988,29.27767224
02/05/2024 08:34,15.8,4.7,1.292,40111,56.5,30,0.6,0.54,0.41425,55.84096707,29.97843539
02/05/2024 03:44,15.8,4.6,1.294,40111,54.9,30.3,0.6,0.54,0.521,55.50390358,30.28955251
02/05/2024 00:14,16.2,4.66,1.297,40111,54.8,30,0.6,0.54,0.521,54.44990541,29.96880161
01/05/2024 07:54,16.15,4.96,1.306,39546,53.1,30.6,0.455,0.519,0.53375,52.08202322,30.6050769
30/04/2024 23:54,16.02,4.76,1.298,39338,54.8,31.3,0.455,0.519,0.53375,57.38559345,31.26420455
30/04/2024 20:54,15.9,4.66,1.288,37151,55.3,30.5,0.455,0.519,0.53375,54.24948356,30.53156506
29/04/2024 23:54,16,4.78,1.306,42646,52.4,31.3,0.363,0.373,0.487,51.92371703,31.27073025
29/04/2024 20:34,16.1,4.9,1.306,43025,51.9,30.3,0.363,0.373,0.487,51.7014647,30.34459327
29/04/2024 07:34,16.4,4.35,1.306,41395,51.6,31.5,0.367,0.368,0.369,52.00345568,31.47721227
29/04/2024 04:04,16.2,4.45,1.305,41474,52.2,28.2,0.367,0.368,0.369,51.76047306,28.17845901
29/04/2024 00:04,16.2,4.35,1.304,42244,52.6,29,0.367,0.368,0.369,51.98007193,29.0195178
28/04/2024 16:14,15.99,4.25,1.3,40253,52.9,28.7,0.367,0.368,0.369,53.72095636,28.68087477
28/04/2024 12:54,15.96,4.35,1.302,40456,52.9,28.3,0.367,0.368,0.369,53.59082322,28.3218982
28/04/2024 08:44,15.75,4.25,1.294,39618,55.4,28.9,0.402,0.405,0.369,55.51876304,28.86097951
28/04/2024 04:04,15.8,4.15,1.289,39099,56.9,28.4,0.402,0.405,0.37625,57.08992804,28.39866359
28/04/2024 00:44,16,4.1,1.285,41586,59.6,28,0.402,0.405,0.37625,58.22549591,27.9806277
27/04/2024 19:44,14.9,4.15,1.293,37866,55.5,27.5,0.402,0.405,0.37625,55.17845629,27.48560098
27/04/2024 16:14,15.97,4.05,1.294,38247,55.4,30,0.402,0.405,0.37625,55.73699126,30.03414709
27/04/2024 11:34,15,4.15,1.295,38854,55,27.3,0.366,0.359,0.37625,54.04746272,27.36616702
27/04/2024 08:44,15.62,4.45,1.296,37462,54.6,29.2,0.366,0.359,0.37625,55.41646383,29.24710904
27/04/2024 03:34,15.45,4.05,1.195,37598,58.5,30.1,0.366,0.359,0.3945,56.75047763,30.08044937
26/04/2024 20:14,15.9,4.15,1.288,38276,57.1,28.7,0.366,0.359,0.3945,56.5729871,28.72304983
26/04/2024 16:04,15.8,4.1,1.228,37942,58.3,27.9,0.366,0.359,0.3945,58.94171809,27.85366545
26/04/2024 08:34,16,4.05,1.284,35082,58.1,28,0.35,0.36,0.3945,58.50663811,27.9806277
26/04/2024 03:24,15.8,4.45,1.283,34995,58.7,27.6,0.35,0.36,0.3585,60.18050684,27.61849878
26/04/2024 02:24,15.5,4.35,1.276,34689,62.1,29.4,0.35,0.36,0.3585,61.93818634,29.40847955
25/04/2024 20:24,16.4,4.25,1.259,35610,55.1,28.8,0.35,0.36,0.3585,55.49912125,28.80929061
25/04/2024 16:54,16.4,4.3,1.296,34122,54.3,27.8,0.35,0.36,0.3585,54.76537983,27.83286446
25/04/2024 08:24,16.29,4.35,1.298,36258,54.2,27.9,0.35,0.36,0.3585,54.14843021,27.94508009
24/04/2024 16:14,16.2,4,1.268,32713,56.3,28.6,0.35,0.36,,57.84787002,28.55359867
24/04/2024 03:44,16.05,4.1,1.29,32587,56.3,27,0.351,0.339,0.35525,57.34674535,26.99619772
23/04/2024 20:14,16.1,4.25,1.288,32921,57.7,27.5,0.351,0.339,0.35525,57.06802683,27.54802688
23/04/2024 12:14,16.1,4.05,1.289,31600,56.5,27.7,0.369,0.342,0.35525,56.3838501,27.72785019
23/04/2024 08:34,16.23,4.25,1.288,29876,56.8,27.1,0.369,0.342,0.35525,56.53350074,27.1184043
23/04/2024 03:34,16.35,4.15,1.287,29786,57.4,27.7,0.369,0.342,0.3495,57.89437765,27.71017953
23/04/2024 00:14,16.5,3.85,1.286,29895,57.5,27.4,0.369,0.342,0.3495,57.59814093,27.35713291
22/04/2024 19:54,16.2,3.8,1.282,27369,58.3,25.8,0.369,0.342,0.3495,58.50975128,25.77436236
22/04/2024 15:24,16.4,3.9,1.284,27592,57.7,25.8,0.369,0.342,0.3495,57.84964222,25.75902234
22/04/2024 07:54,16.44,4.19,1.28,27466,59.3,26.3,0.33,0.367,0.34575,59.33362348,26.31879099
22/04/2024 04:04,16.34,4.15,1.278,28642,59.5,27.7,0.33,0.367,0.34575,60.12896143,27.65882276
22/04/2024 00:04,16.6,4.25,1.277,28453,60.3,27.5,0.33,0.367,0.34575,60.25498192,27.47959897
21/04/2024 19:54,16.2,3.8,1.276,26759,60.8,27.4,0.33,0.367,0.34575,60.55873106,27.34852948
21/04/2024 08:54,16.2,4.3,1.273,26131,61.2,25.7,0.378,0.372,0.34575,61.18926469,25.70013336
21/04/2024 04:04,15.9,4.35,1.269,26013,63.2,28.4,0.378,0.372,0.3605,62.82097019,28.44498276
