Time,\\pi3\LR09144901L%P2O5,\\pi3\MKP_LAB449SO4%,\\pi3\MKP_DT_40450
07/10/2023 00:31:13.756,14.9,,
07/10/2023 00:29:58.968,,4.45,
07/10/2023 00:23:29.374,,,1.2516
07/10/2023 00:21:54.427,,,1.2545
07/10/2023 00:21:13.756,14.9,,
07/10/2023 00:19:58.968,,4.45,
07/10/2023 00:11:13.756,14.9,,
07/10/2023 00:09:58.968,,4.45,
07/10/2023 00:08:18.766,,,1.2529
07/10/2023 00:01:13.756,14.9,,
06/10/2023 23:59:58.968,,4.45,
06/10/2023 23:59:58.842,,,1.2545
06/10/2023 23:53:50.211,15.3,,
06/10/2023 23:49:58.968,,4.45,
06/10/2023 23:45:10.321,,,1.2504
06/10/2023 23:43:50.211,15.3,,
