Name,\\pi3\MKP_DT_40450
Data Type,Float 32
Number of Values,24505
Time,Value,Value Attributes
12-Mar-2023 21:11:44.43898,1.27
12-Mar-2023 20:55:32.80008,1.27
12-Mar-2023 20:51:58.58044,1.27
12-Mar-2023 20:19:27.60918,1.27
12-Mar-2023 19:53:48.07512,1.26
12-Mar-2023 19:37:43.64371,1.26
12-Mar-2023 19:29:49.24748,1.27
12-Mar-2023 19:20:42.36465,1.27
12-Mar-2023 19:19:09.72176,1.26
12-Mar-2023 19:11:08.28708,1.26
12-Mar-2023 19:10:01.12381,1.26
12-Mar-2023 19:06:45.68835,1.26
12-Mar-2023 19:02:08.88673,1.26
12-Mar-2023 18:54:12.52339,1.26
12-Mar-2023 18:52:33.73309,1.26
12-Mar-2023 18:49:13.20932,1.26
12-Mar-2023 18:44:24.49792,1.26
12-Mar-2023 18:41:35.35616,1.25
12-Mar-2023 18:40:26.8938,1.26
12-Mar-2023 18:35:46.84496,1.26
12-Mar-2023 18:33:34.50252,1.25
12-Mar-2023 18:31:12.11646,1.25
12-Mar-2023 18:29:25.08064,1.25
12-Mar-2023 18:22:47.65033,1.24
12-Mar-2023 18:21:43.42023,1.25
12-Mar-2023 18:18:36.86134,1.25
12-Mar-2023 18:15:28.35335,1.24
12-Mar-2023 18:12:43.23683,1.24
12-Mar-2023 18:06:41.11176,1.24
12-Mar-2023 18:05:02.43147,1.23
12-Mar-2023 18:01:52.63739,1.23
12-Mar-2023 17:57:57.84943,1.23
12-Mar-2023 17:56:17.022,1.22
12-Mar-2023 17:52:24.4922,1.22
12-Mar-2023 17:50:47.61903,1.22
12-Mar-2023 17:43:57.5529,1.21
12-Mar-2023 17:35:45.37756,1.22
12-Mar-2023 17:34:45.17473,1.23
12-Mar-2023 17:31:47.78543,1.24
12-Mar-2023 17:29:10.62741,1.21
12-Mar-2023 17:27:38.01651,1.21
12-Mar-2023 17:25:27.63622,1.21
12-Mar-2023 17:24:27.51439,1.24
12-Mar-2023 17:18:16.93977,1.24
12-Mar-2023 17:08:13.45534,1.21
12-Mar-2023 17:06:21.3862,1.21
12-Mar-2023 17:05:16.11804,1.21
12-Mar-2023 17:01:57.33638,1.20
12-Mar-2023 16:57:43.56021,1.21
12-Mar-2023 16:56:43.38939,1.20
12-Mar-2023 16:53:20.69348,1.20
12-Mar-2023 16:52:18.58351,1.18
12-Mar-2023 16:50:26.13235,1.18
12-Mar-2023 16:49:01.25195,1.20
12-Mar-2023 16:47:23.0497,1.19
12-Mar-2023 16:42:50.28233,1.20
12-Mar-2023 16:38:39.77638,1.20
12-Mar-2023 16:37:05.96539,1.23
12-Mar-2023 16:32:55.34444,1.23
12-Mar-2023 16:28:44.41547,1.23
12-Mar-2023 16:25:32.59026,1.22
12-Mar-2023 16:24:19.17557,1.22
12-Mar-2023 16:21:49.14902,1.22
12-Mar-2023 16:20:43.80685,1.21
12-Mar-2023 16:18:48.37651,1.21
12-Mar-2023 16:11:50.3019,1.22
12-Mar-2023 16:10:32.90796,1.21
12-Mar-2023 16:09:07.32751,1.23
12-Mar-2023 16:07:59.38721,1.24
12-Mar-2023 16:05:47.90285,1.25
12-Mar-2023 16:04:33.49611,1.21
12-Mar-2023 16:01:47.33452,1.19
12-Mar-2023 16:00:47.15768,1.17
12-Mar-2023 15:59:09.37445,1.18
12-Mar-2023 15:58:07.1615,1.18
12-Mar-2023 15:56:24.24895,1.18
12-Mar-2023 15:55:22.05199,1.18
12-Mar-2023 15:42:52.75027,1.18
12-Mar-2023 15:41:46.60205,1.20
12-Mar-2023 15:40:20.93959,1.21
12-Mar-2023 15:39:03.44066,1.21
12-Mar-2023 15:29:18.83443,1.21
12-Mar-2023 15:26:40.92136,1.21
12-Mar-2023 15:21:36.961,1.21
12-Mar-2023 15:19:36.49632,1.18
12-Mar-2023 15:18:34.22337,1.16
12-Mar-2023 15:17:17.83949,1.17
12-Mar-2023 15:16:15.72055,1.21
12-Mar-2023 15:14:49.94508,1.21
12-Mar-2023 15:12:11.87701,1.21
12-Mar-2023 15:10:22.58705,1.19
12-Mar-2023 15:09:01.96492,1.19
12-Mar-2023 15:06:02.63849,1.19
12-Mar-2023 15:05:01.4796,1.20
12-Mar-2023 15:04:00.38071,1.22
12-Mar-2023 15:02:58.28575,1.21
12-Mar-2023 15:01:43.84801,1.20
12-Mar-2023 14:59:38.36002,1.20
12-Mar-2023 14:58:25.03534,1.22
12-Mar-2023 14:57:18.72612,1.22
12-Mar-2023 14:55:22.66173,1.19
12-Mar-2023 14:54:03.17467,1.22
12-Mar-2023 14:47:17.1208,1.22
12-Mar-2023 14:46:06.63231,1.24
12-Mar-2023 14:42:44.70845,1.22
12-Mar-2023 14:40:21.86534,1.22
12-Mar-2023 14:37:17.45961,1.22
12-Mar-2023 14:36:00.10867,1.21
12-Mar-2023 14:31:23.73807,1.21
12-Mar-2023 14:29:54.06136,1.21
12-Mar-2023 14:28:53.66452,1.18
12-Mar-2023 14:27:52.58662,1.18
12-Mar-2023 14:25:01.19171,1.17
12-Mar-2023 14:23:19.15965,1.17
12-Mar-2023 14:22:02.70781,1.17
12-Mar-2023 14:21:02.5722,1.16
12-Mar-2023 14:19:43.98819,1.20
12-Mar-2023 14:18:43.71423,1.16
12-Mar-2023 14:17:37.30788,1.16
12-Mar-2023 14:16:30.01443,1.16
12-Mar-2023 14:14:56.07845,1.16
12-Mar-2023 14:08:59.09735,1.18
12-Mar-2023 14:07:44.89046,1.00
12-Mar-2023 14:04:39.41756,1.26
12-Mar-2023 13:59:33.65083,1.20
12-Mar-2023 13:55:56.74179,1.20
12-Mar-2023 13:54:53.52177,1.22
12-Mar-2023 13:50:49.0652,1.22
12-Mar-2023 13:48:05.31076,1.22
12-Mar-2023 13:47:05.20393,1.22
12-Mar-2023 13:44:16.06715,1.22
12-Mar-2023 13:42:58.57822,1.22
12-Mar-2023 13:39:33.89619,1.24
12-Mar-2023 13:38:23.63872,1.24
12-Mar-2023 13:35:54.69623,1.24
12-Mar-2023 13:34:15.90593,1.24
12-Mar-2023 13:33:00.54114,1.24
12-Mar-2023 13:28:31.85503,1.24
12-Mar-2023 13:27:14.47809,1.25
12-Mar-2023 13:25:07.22798,1.25
12-Mar-2023 13:24:03.0549,1.22
12-Mar-2023 13:22:54.77756,1.22
12-Mar-2023 13:21:54.72073,1.24
12-Mar-2023 13:20:51.54071,1.21
12-Mar-2023 13:19:34.09477,1.20
12-Mar-2023 13:18:32.98087,1.20
12-Mar-2023 13:16:30.71608,1.18
12-Mar-2023 13:15:02.92949,1.19
12-Mar-2023 13:14:02.86467,1.19
12-Mar-2023 13:12:43.3766,1.19
12-Mar-2023 13:05:00.80914,1.20
12-Mar-2023 13:03:53.60686,1.25
12-Mar-2023 13:02:19.90889,1.26
12-Mar-2023 13:00:57.40564,1.26
12-Mar-2023 12:59:54.25963,1.23
12-Mar-2023 12:58:54.11778,1.00
12-Mar-2023 12:57:15.21649,1.15
12-Mar-2023 12:56:12.92352,1.27
12-Mar-2023 12:51:40.8582,1.25
12-Mar-2023 12:50:09.04834,1.27
12-Mar-2023 12:48:02.8213,1.27
12-Mar-2023 12:45:30.99564,1.27
12-Mar-2023 12:38:31.06389,1.27
12-Mar-2023 12:34:13.33247,1.28
12-Mar-2023 12:28:54.24515,1.27
12-Mar-2023 12:27:50.95111,1.27
12-Mar-2023 12:22:58.13846,1.28
12-Mar-2023 12:21:41.48859,1.27
12-Mar-2023 12:18:42.25316,1.26
12-Mar-2023 12:17:05.506,1.27
12-Mar-2023 12:10:42.92863,1.28
12-Mar-2023 12:08:29.64413,1.26
12-Mar-2023 12:07:02.00055,1.25
12-Mar-2023 12:04:17.00804,1.28
12-Mar-2023 11:56:26.9631,1.28
12-Mar-2023 11:55:07.51105,1.25
12-Mar-2023 11:54:06.31615,1.24
12-Mar-2023 11:53:06.30232,1.24
12-Mar-2023 11:52:06.0665,1.24
12-Mar-2023 11:51:05.70465,1.25
12-Mar-2023 11:49:48.17871,1.28
12-Mar-2023 11:43:13.9566,1.28
12-Mar-2023 11:41:35.14731,1.25
12-Mar-2023 11:40:31.02122,1.25
12-Mar-2023 11:39:19.64267,1.26
12-Mar-2023 11:38:19.42284,1.28
12-Mar-2023 11:35:32.20418,1.28
12-Mar-2023 11:34:31.95935,1.13
12-Mar-2023 11:33:30.73344,1.14
12-Mar-2023 11:32:27.58542,1.16
12-Mar-2023 11:31:27.40559,1.28
12-Mar-2023 11:19:07.97949,1.27
12-Mar-2023 11:17:15.98537,1.28
12-Mar-2023 11:10:51.20285,1.27
12-Mar-2023 10:56:47.76814,1.28
12-Mar-2023 10:42:12.11737,1.28
12-Mar-2023 10:36:09.23026,1.27
12-Mar-2023 10:34:56.80464,1.28
12-Mar-2023 10:28:44.38695,1.28
12-Mar-2023 10:23:51.7433,1.27
12-Mar-2023 10:22:48.55328,1.28
12-Mar-2023 10:12:35.57425,1.27
12-Mar-2023 10:07:39.1154,1.28
12-Mar-2023 10:04:59.78224,1.27
12-Mar-2023 09:53:44.81027,1.28
12-Mar-2023 09:49:56.28271,1.27
12-Mar-2023 09:48:31.53732,1.28
12-Mar-2023 09:40:59.0175,1.27
12-Mar-2023 09:35:40.04518,1.27
12-Mar-2023 09:29:08.61525,1.28
12-Mar-2023 09:25:41.82407,1.27
12-Mar-2023 09:24:02.91777,1.28
12-Mar-2023 09:16:39.48853,1.27
12-Mar-2023 09:12:42.76744,1.28
12-Mar-2023 09:09:10.42992,1.27
12-Mar-2023 09:06:17.56989,1.28
12-Mar-2023 08:58:50.54141,1.27
12-Mar-2023 08:51:11.06415,1.28
12-Mar-2023 08:47:27.89693,1.27
12-Mar-2023 08:42:41.33768,1.27
12-Mar-2023 08:35:54.65376,1.27
12-Mar-2023 08:34:45.36435,1.27
12-Mar-2023 08:30:35.54643,1.27
12-Mar-2023 08:24:19.19746,1.27
12-Mar-2023 08:19:25.34775,1.27
12-Mar-2023 08:13:07.13266,1.27
12-Mar-2023 08:07:39.29277,1.27
12-Mar-2023 08:01:36.59167,1.27
12-Mar-2023 07:56:38.05666,1.27
12-Mar-2023 07:50:06.87375,1.27
12-Mar-2023 07:44:50.94063,1.27
12-Mar-2023 07:37:42.27032,1.27
12-Mar-2023 07:32:26.61621,1.27
12-Mar-2023 07:25:50.49698,1.27
12-Mar-2023 07:21:08.58803,1.27
12-Mar-2023 07:14:09.99437,1.27
12-Mar-2023 07:08:35.13904,1.27
12-Mar-2023 07:01:51.90436,1.27
12-Mar-2023 06:56:06.77338,1.27
12-Mar-2023 06:48:54.08281,1.27
12-Mar-2023 06:36:08.93408,1.27
12-Mar-2023 06:31:46.28436,1.27
12-Mar-2023 06:29:39.93732,1.27
12-Mar-2023 06:22:41.47366,1.27
12-Mar-2023 06:16:28.32892,1.27
12-Mar-2023 06:09:43.70815,1.27
12-Mar-2023 05:57:50.10272,1.27
12-Mar-2023 05:52:40.71303,1.27
