Name,\\pi3\MKP_DT_40450,
Data Type,Float 32,
Number of Values,25401,
Time,Value,Value Attributes
10/12/2022 17:23:22.16,1.2878,
10/12/2022 17:16:02.35,1.2845,
10/12/2022 17:13:59.08,1.2763,
10/12/2022 17:12:25.31,1.2862,
10/12/2022 17:06:44.18,1.2907,
10/12/2022 17:05:03.36,1.2829,
10/12/2022 17:02:07.19,1.2879,
10/12/2022 16:55:41.04,1.2896,
10/12/2022 16:54:36.81,1.0219,
10/12/2022 16:51:35.57,1.2889,
10/12/2022 16:44:55.37,1.2926,
10/12/2022 16:41:38.71,1.2845,
10/12/2022 16:39:36.52,1.2785,
10/12/2022 16:38:34.39,1.2881,
10/12/2022 16:36:06.64,1.2932,
10/12/2022 16:31:59.23,1.2854,
10/12/2022 16:29:53.03,1.2807,
10/12/2022 16:28:51.15,1.2884,
10/12/2022 16:26:50.94,1.2934,
10/12/2022 16:23:01.80,1.2855,
10/12/2022 16:21:05.61,1.2792,
10/12/2022 16:19:58.40,1.2889,
10/12/2022 16:15:20.42,1.2924,
10/12/2022 16:14:04.05,1.2826,
10/12/2022 16:11:23.14,1.2889,
10/12/2022 16:08:22.80,1.2937,
10/12/2022 16:06:21.62,1.0721,
10/12/2022 16:03:19.33,1.2806,
10/12/2022 16:02:08.07,1.2892,
10/12/2022 15:56:39.02,1.2921,
10/12/2022 15:55:24.67,1.2009,
10/12/2022 15:54:22.52,1.2809,
10/12/2022 15:53:16.34,1.2884,
10/12/2022 15:47:31.18,1.2915,
10/12/2022 15:46:16.88,1.2817,
10/12/2022 15:44:15.60,1.2887,
10/12/2022 15:39:35.45,1.2936,
10/12/2022 15:38:34.38,1.2856,
10/12/2022 15:37:27.15,1.0084,
10/12/2022 15:34:24.91,1.2937,
10/12/2022 15:24:31.17,1.2897,
10/12/2022 15:18:47.06,1.2849,
10/12/2022 15:16:36.78,1.0271,
10/12/2022 15:12:07.96,1.2916,
10/12/2022 15:10:24.04,1.291,
10/12/2022 15:08:54.34,1.2797,
10/12/2022 15:06:20.61,1.2864,
10/12/2022 15:02:19.38,1.2911,
10/12/2022 14:58:25.18,1.2834,
10/12/2022 14:56:46.34,1.2896,
10/12/2022 14:52:38.83,1.0275,
10/12/2022 14:49:37.54,1.2791,
10/12/2022 14:48:22.22,1.2768,
10/12/2022 14:46:48.45,1.2845,
10/12/2022 14:41:35.87,1.2862,
10/12/2022 14:40:21.56,1.2784,
10/12/2022 14:38:22.29,1.2817,
10/12/2022 14:32:33.09,1.2835,
10/12/2022 14:31:11.58,1.1269,
10/12/2022 14:29:59.24,1.0488,
10/12/2022 14:28:59.12,1.2655,
10/12/2022 14:27:40.75,1.2764,
10/12/2022 14:24:23.16,1.278,
10/12/2022 14:21:50.46,1.2702,
10/12/2022 14:19:48.24,1.2718,
10/12/2022 14:10:10.79,1.2704,
10/12/2022 14:08:34.99,1.2579,
10/12/2022 14:06:27.77,1.2516,
10/12/2022 14:05:20.55,1.2615,
10/12/2022 14:03:03.06,1.2632,
10/12/2022 14:01:24.23,1.2505,
10/12/2022 13:58:34.14,1.2428,
10/12/2022 13:56:56.43,1.2568,
10/12/2022 13:54:59.31,1.0209,
10/12/2022 13:52:03.16,1.0075,
10/12/2022 13:51:03.04,1.2462,
10/12/2022 13:48:33.43,1.2478,
10/12/2022 13:46:10.89,1.2416,
10/12/2022 13:44:06.61,1.2368,
10/12/2022 13:42:13.61,1.2629,
10/12/2022 13:36:47.65,1.2689,
10/12/2022 13:34:18.05,1.2704,
10/12/2022 13:33:16.95,1.2112,
10/12/2022 13:32:15.67,1,
10/12/2022 12:52:15.67,1,
10/12/2022 12:42:01.41,1.1265,
10/12/2022 12:41:00.37,1.025,
10/12/2022 12:38:35.69,1.29,
10/12/2022 12:35:14.11,1.295,
10/12/2022 12:27:00.29,1.2904,
10/12/2022 12:25:48.96,1.295,
10/12/2022 12:20:47.57,1.2919,
10/12/2022 12:15:48.09,1.2934,
10/12/2022 12:06:01.41,1.2919,
10/12/2022 12:01:28.53,1.2965,
10/12/2022 11:56:39.27,1.2903,
10/12/2022 11:51:59.13,1.2965,
10/12/2022 11:49:23.31,1.2919,
10/12/2022 11:46:38.41,1.2897,
10/12/2022 11:44:53.58,1.2948,
10/12/2022 11:40:02.43,1.2917,
10/12/2022 11:35:24.35,1.2932,
10/12/2022 11:30:23.81,1.2917,
10/12/2022 11:26:36.81,1.2933,
10/12/2022 11:19:06.53,1.2902,
10/12/2022 11:17:45.00,1.2947,
10/12/2022 11:13:36.59,1.2932,
10/12/2022 11:06:08.36,1.2963,
10/12/2022 11:00:47.41,1.2902,
10/12/2022 10:59:11.72,1.2949,
10/12/2022 10:50:11.99,1.2918,
10/12/2022 10:45:10.58,1.2949,
10/12/2022 10:41:55.03,1.2918,
10/12/2022 10:37:07.77,1.2949,
10/12/2022 10:35:01.43,1.2871,
10/12/2022 10:33:18.59,1.2934,
10/12/2022 10:28:54.87,1.2934,
10/12/2022 10:25:40.31,1.2902,
10/12/2022 10:19:48.90,1.2948,
10/12/2022 10:18:44.74,1.2886,
10/12/2022 10:16:12.99,1.2901,
10/12/2022 10:10:49.26,1.2949,
10/12/2022 10:09:37.97,1.2886,
10/12/2022 10:07:27.64,1.2901,
10/12/2022 10:02:00.75,1.2947,
10/12/2022 09:59:42.27,1.2885,
10/12/2022 09:58:02.47,1.2946,
10/12/2022 09:49:40.55,1.2915,
10/12/2022 09:44:50.35,1.2991,
10/12/2022 09:43:18.75,1.2959,
10/12/2022 09:41:53.18,1.0156,
10/12/2022 09:40:25.56,1.0039,
10/12/2022 09:32:56.42,1.0505,
10/12/2022 09:31:53.31,1.2919,
10/12/2022 09:25:56.71,1.2965,
10/12/2022 09:24:51.53,1.2903,
10/12/2022 09:21:43.24,1.2936,
10/12/2022 09:16:54.95,1.2982,
10/12/2022 09:15:51.78,1.0229,
10/12/2022 09:06:48.95,1.018,
10/12/2022 09:03:45.58,1.2973,
10/12/2022 09:00:40.25,1.292,
10/12/2022 08:58:14.49,1.2873,
10/12/2022 08:56:56.12,1.2951,
10/12/2022 08:50:46.47,1.2936,
10/12/2022 08:48:18.82,1.2874,
10/12/2022 08:47:08.56,1.2921,
10/12/2022 08:42:03.16,1.2951,
10/12/2022 08:38:38.48,1.292,
10/12/2022 08:34:25.98,1.2966,
10/12/2022 08:31:31.79,1.2905,
10/12/2022 08:30:10.38,1.2951,
10/12/2022 08:25:11.01,1.2935,
10/12/2022 08:22:48.39,1.2887,
10/12/2022 08:21:35.09,1.295,
10/12/2022 08:17:00.09,1.2936,
10/12/2022 08:08:45.27,1.2966,
10/12/2022 08:07:40.06,1.2889,
10/12/2022 08:05:12.39,1.2923,
10/12/2022 08:00:18.90,1.2954,
10/12/2022 07:57:27.53,1.2923,
10/12/2022 07:51:00.33,1.2969,
10/12/2022 07:49:55.04,1.2877,
10/12/2022 07:48:54.83,1.0097,
10/12/2022 07:47:14.95,1.0148,
10/12/2022 07:46:01.54,1.2926,
10/12/2022 07:43:15.25,1.2974,
10/12/2022 07:39:59.45,1.2913,
10/12/2022 07:38:01.17,1.2864,
10/12/2022 07:36:57.91,1.2926,
10/12/2022 07:33:29.83,1.2972,
10/12/2022 07:31:15.23,1.289,
10/12/2022 07:28:35.22,1.2921,
10/12/2022 07:24:05.00,1.2967,
10/12/2022 07:22:41.30,1.2905,
10/12/2022 07:20:13.37,1.2922,
10/12/2022 07:15:21.85,1.2953,
10/12/2022 07:12:14.27,1.2923,
10/12/2022 07:08:09.69,1.2969,
10/12/2022 07:06:16.61,1.2892,
10/12/2022 07:04:03.15,1.2925,
10/12/2022 07:00:39.28,1.2972,
10/12/2022 06:58:54.02,1.2923,
10/12/2022 06:57:03.97,1.2862,
10/12/2022 06:55:57.69,1.2929,
10/12/2022 06:51:40.90,1.2976,
10/12/2022 06:49:41.66,1.2896,
10/12/2022 06:47:34.33,1.2847,
10/12/2022 06:46:11.74,1.2946,
10/12/2022 06:40:24.37,1.2961,
10/12/2022 06:39:19.17,1.288,
10/12/2022 06:37:37.22,1.2833,
10/12/2022 06:36:26.97,1.2915,
10/12/2022 06:30:35.54,1.2962,
10/12/2022 06:29:32.38,1.2863,
10/12/2022 06:27:40.32,1.2816,
10/12/2022 06:26:39.16,1.2932,
10/12/2022 06:21:13.13,1.2964,
10/12/2022 06:19:37.39,1.2868,
10/12/2022 06:16:59.42,1.2917,
10/12/2022 06:11:23.24,1.2964,
10/12/2022 06:10:18.01,1.2918,
10/12/2022 06:08:30.88,1.2856,
10/12/2022 06:07:10.36,1.2932,
10/12/2022 06:02:51.62,1.298,
10/12/2022 06:00:15.65,1.2918,
10/12/2022 05:57:54.03,1.2869,
10/12/2022 05:56:46.76,1.2949,
10/12/2022 05:53:17.00,1.2997,
10/12/2022 05:52:15.89,1.0305,
10/12/2022 05:46:28.41,1.298,
10/12/2022 05:44:42.45,1.2973,
10/12/2022 05:43:30.07,1.2909,
10/12/2022 05:41:16.64,1.2862,
10/12/2022 05:40:08.39,1.2956,
10/12/2022 05:35:14.80,1.2974,
10/12/2022 05:34:00.48,1.2878,
10/12/2022 05:31:35.91,1.2928,
10/12/2022 05:28:29.37,1.2975,
10/12/2022 05:26:33.23,1.2929,
10/12/2022 05:24:57.47,1.2864,
10/12/2022 05:23:36.00,1.2927,
10/12/2022 05:19:50.77,1.2974,
10/12/2022 05:17:52.44,1.2896,
10/12/2022 05:15:36.83,1.2927,
10/12/2022 05:10:30.07,1.296,
10/12/2022 05:09:21.82,1.2877,
10/12/2022 05:07:07.27,1.2928,
10/12/2022 05:03:50.61,1.2977,
10/12/2022 05:01:13.64,1.2928,
10/12/2022 04:59:12.45,1.2868,
10/12/2022 04:58:12.25,1.2917,
10/12/2022 04:56:04.79,1.2979,
10/12/2022 04:51:52.10,1.2902,
10/12/2022 04:49:59.00,1.2856,
10/12/2022 04:48:48.63,1.2955,
10/12/2022 04:43:27.76,1.2922,
10/12/2022 04:41:40.82,1.2873,
10/12/2022 04:39:57.85,1.2952,
10/12/2022 04:35:27.81,1.2967,
10/12/2022 04:34:17.46,1.2883,
10/12/2022 04:31:37.55,1.293,
10/12/2022 04:27:33.17,1.2976,
10/12/2022 04:24:51.24,1.2912,
10/12/2022 04:23:03.16,1.2851,
10/12/2022 04:21:39.57,1.293,
10/12/2022 04:16:37.99,1.2976,
10/12/2022 04:14:58.11,1.2914,
10/12/2022 04:12:28.39,1.2867,
10/12/2022 04:11:12.02,1.2945,
10/12/2022 04:05:20.57,1.296,
10/12/2022 04:04:19.42,1.2898,
10/12/2022 04:02:14.15,1.2851,
10/12/2022 04:01:04.85,1.2947,
10/12/2022 03:56:09.33,1.2963,
10/12/2022 03:54:53.96,1.2866,
10/12/2022 03:52:42.53,1.2916,
10/12/2022 03:47:01.20,1.2965,
10/12/2022 03:45:45.75,1.2899,
